,S6 starts,S6 over
Participant1,14:30:32,14:32:39
Participant2,15:04:15,15:05:39
Participant3,15:46:17,15:47:42
Participant4,16:12:17,16:13:24
Participant5,16:41:14,16:42:31
Participant6,11:01:29,11:02:56
Participant7,11:28:01,11:29:39
Participant8,11:43:10,11:44:33
Participant9,12:12:16,12:14:28
Participant10,12:49:18,12:50:21
Participant11,14:39:32,14:40:38
Participant12,15:16:46,15:18:17
Participant13,15:33:06,15:34:10
Participant14,16:07:09,16:08:19
Participant15,16:26:29,16:27:40
Participant16,10:33:24,10:34:55
Participant17,10:49:12,10:50:28
Participant18,11:19:40,11:20:34
Participant19,11:35:48,11:36:26
Participant20,11:51:00,11:51:58
Participant21,12:05:25,12:06:24
Participant22,12:20:04,12:21:11
Participant23,14:20:32,14:21:37
Participant24,14:36:25,14:37:40
Participant25,14:54:04,14:55:08
Participant26,15:07:07,15:08:15
Participant27,15:22:33,15:23:46
Participant28,15:38:36,15:40:17
Participant29,15:57:03,15:58:21
Participant30,16:20:02,16:21:31
Participant31,16:37:55,16:39:32
Participant32,10:33:28,10:34:50
Participant33,10:51:11,10:52:30
Participant34,11:18:42,11:19:43
Participant35,11:35:22,11:36:26
Participant36,11:52:15,11:53:13
Participant37,,12:19:30
Participant38,12:34:46,12:36:01
Participant39,12:57:17,12:58:34
Participant40,13:12:33,13:14:06
Participant41,14:41:32,14:43:03
Participant42,14:55:05,14:56:04
Participant43,15:08:07,15:09:04
Participant44,15:26:34,15:27:31
Participant45,15:43:00,15:44:04
Participant46,15:56:44,15:57:51
Participant47,16:19:00,16:19:58
Participant48,16:31:57,16:33:05
Participant49,17:13:39,17:14:39
