,start-128,end-128,start-64,end-64,,,,,,,,
P1,0,0,0,0,,,,,,,,
P2,10496,21248,5248,10624,,,,,,,,
P3,13568,24448,6784,12224,,,,,,,,
P4,10112,18688,5056,9344,,,,,,,,
P5,8960,18816,4480,9408,,,,,,,,
P6,0,0,0,0,,,,,,,,
P7,0,0,0,0,,,,,,,,
P8,0,0,0,0,,,,,,,,
P9,0,0,0,0,,,,,,,,
P10,0,0,0,0,,,,,,,,
P11,180096,188544,90048,94272,,,,,,,,
P12,9728,21376,4864,10688,,,,,,,,
P13,10112,18304,5056,9152,,,,,,,,
P14,11392,20352,5696,10176,,,,,,,,
P15,7808,16896,3904,8448,,,,,,,,
P16,4096,15744,2048,7872,,,,,,,,
P17,11008,20736,5504,10368,,,,,,,,
P18,0,0,0,0,,,,,,,,
P19,0,0,0,0,,,,,,,,
P20,8192,15616,4096,7808,,,,,,,,
P21,7936,15488,3968,7744,,,,,,,,
P22,10752,19328,5376,9664,,,,,,,,
P23,7936,16256,3968,8128,,,,,,,,
P24,9600,19200,4800,9600,,,,,,,,
P25,7296,15488,3648,7744,,,,,,,,
P26,9984,18688,4992,9344,,,,,,,,
P27,15360,24704,7680,12352,,,,,,,,
P28,9600,22528,4800,11264,,,,,,,,
P29,16256,26240,8128,13120,,,,,,,,
P30,20736,32128,10368,16064,,,,,,,,
P31,35328,47744,17664,23872,,,,,,,,
P32,0,0,0,0,,,,,,,,
P33,13056,23168,6528,11584,,,,,,,,
P34,15232,23040,7616,11520,,,,,,,,
P35,9600,17792,4800,8896,,,,,,,,
P36,8576,16000,4288,8000,,,,,,,,
P37,0,0,0,0,,,,,,,,
P38,14464,24064,7232,12032,,,,,,,,
P39,17664,27520,8832,13760,,,,,,,,
P40,8064,19968,4032,9984,,,,,,,,
P41,9216,20864,4608,10432,,,,,,,,
P42,10240,17792,5120,8896,,,,,,,,
P43,8832,16128,4416,8064,,,,,,,,
P44,11136,18432,5568,9216,,,,,,,,
P45,10624,18816,5312,9408,,,,,,,,
P46,4480,13056,2240,6528,,,,,,,,
P47,8576,16000,4288,8000,,,,,,,,
P48,14848,23552,7424,11776,,,,,,,,
P49,13952,21632,6976,10816,,,,,,,,
,,,,,,,,,,,,
