,before2s,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,after2s,over
p1,-2,0,0,0,0,0,0,0,0,0,0,2
p2,80,82,89,95,105,113,122,131,149,159,164,166
p3,104,106,115,126,136,146,154,163,183,191,194,196
p4,77,79,87,96,105,113,120,129,136,146,150,152
p5,68,70,79,87,96,104,114,124,134,143,147,149
p6,-2,0,0,0,0,0,0,0,0,0,0,2
p7,-2,0,0,0,0,0,0,0,0,0,0,2
p8,-2,0,0,0,0,0,0,0,0,0,0,2
p9,-2,0,0,0,0,0,0,0,0,0,0,2
p10,-2,0,0,0,0,0,0,0,0,0,0,2
p11,1405,1407,1414,1422,1431,1438,1446,1451,1462,1470,1473,1475
p12,74,76,84,90,100,113,122,144,154,163,167,169
p13,77,79,87,94,102,109,117,123,130,139,143,145
p14,87,89,97,106,115,123,132,139,146,155,159,161
p15,59,61,68,76,85,92,100,106,119,128,132,134
p16,30,32,45,53,70,78,91,100,110,121,123,125
p17,84,86,95,104,113,121,129,143,150,159,162,164
p18,-2,0,0,0,0,0,0,0,0,0,0,2
p19,-2,0,0,0,0,0,0,0,0,0,0,2
p20,62,64,72,78,86,91,98,106,113,119,122,124
p21,60,62,68,81,88,92,100,104,114,118,121,123
p22,82,84,89,98,107,114,121,133,140,148,151,153
p23,60,62,69,78,87,94,101,107,115,124,127,129
p24,73,75,82,91,100,108,118,129,137,147,150,152
p25,55,57,69,76,87,93,98,103,110,118,121,123
p26,76,78,85,94,104,112,120,127,135,143,146,148
p27,118,120,129,138,149,156,165,172,180,190,193,195
p28,73,75,98,112,122,131,139,151,161,172,176,178
p29,125,127,135,145,155,165,174,181,190,201,205,207
p30,160,162,170,180,193,202,211,219,227,246,251,253
p31,274,276,287,295,309,317,326,334,344,369,373,375
p32,-2,0,0,0,0,0,0,0,0,0,0,2
p33,100,102,111,122,133,141,152,159,170,178,181,183
p34,117,119,126,134,141,150,155,161,171,178,180,182
p35,73,75,0,91,99,106,114,123,128,136,139,141
p36,65,67,74,82,90,96,102,107,114,122,125,127
p37,0,0,104,110,0,126,0,146,154,163,166,168
p38,111,113,120,134,142,147,156,164,176,186,188,190
p39,136,138,144,152,162,173,180,187,203,211,215,217
p40,61,63,70,79,95,104,123,127,142,153,156,158
p41,70,72,77,84,99,108,0,145,152,160,163,165
p42,78,80,87,95,104,111,116,122,129,136,139,141
p43,67,69,76,83,90,96,104,110,116,123,126,128
p44,85,87,94,101,109,115,122,127,133,141,144,146
p45,81,83,89,97,107,114,122,128,134,143,147,149
p46,33,35,43,53,62,69,78,85,91,99,102,104
p47,65,67,72,80,88,95,102,108,115,123,125,127
p48,114,116,124,133,143,150,158,165,172,181,184,186
p49,107,109,117,124,132,139,146,151,158,166,169,171
