,S4 start,S5 start,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,S6 over
P1,732,772,1142,1146,1160,1169,1193,1204,1224,1254,1262,1267
P2,661,697,1010,1017,1023,1033,1041,1050,1059,1077,1087,1092
P3,120,150,410,419,430,440,450,458,467,487,495,498
P4,48,79,375,383,392,401,409,416,425,432,442,446
P5,41,75,385,394,402,411,419,429,439,449,458,462
P6,60,100,393,401,408,418,429,437,450,465,477,480
P7,33,62,327,337,347,357,372,380,394,406,422,430
P8,53,77,319,327,337,350,357,366,376,388,398,402
P9,73,100,357,365,375,390,409,419,436,459,478,489
P10,96,131,411,415,421,427,433,440,447,464,470,474
P11,56,86,308,315,323,332,339,347,352,363,371,374
P12,73,97,390,398,404,414,427,436,458,468,477,481
P13,45,76,305,313,320,328,335,343,349,356,365,369
P14,73,97,327,335,344,353,361,370,377,384,393,397
P15,-616,-574,-367,-360,-352,-343,-336,-328,-322,-309,-300,-296
P16,116,151,522,535,543,560,568,581,590,600,611,613
P17,68,103,347,356,365,374,382,390,404,411,420,423
P18,119,154,595,601,609,616,621,628,633,638,646,649
P19,45,71,423,426,431,437,440,445,449,453,459,461
P20,69,113,329,337,343,351,356,363,371,378,384,387
P21,125,155,353,359,372,379,383,391,395,405,409,412
P22,69,113,319,324,333,342,349,356,368,375,383,386
P23,33,57,416,423,432,441,448,455,461,469,478,481
P24,50,75,256,263,272,281,289,299,310,318,328,331
P25,66,101,314,326,333,344,350,355,360,367,375,378
P26,48,83,281,288,297,307,315,323,330,338,346,349
P27,133,158,393,402,411,422,429,438,445,453,463,466
P28,51,81,288,311,325,335,344,352,364,374,385,389
P29,53,83,350,358,368,378,388,397,404,413,424,428
P30,54,94,420,428,438,451,460,469,477,485,504,509
P31,182,222,504,515,523,537,545,554,562,572,597,601
P32,,,,,,,,,,,,
P33,66,91,504,513,524,535,543,554,561,572,580,583
P34,41,67,295,302,310,317,326,331,337,347,354,356
P35,,172,411,,427,435,442,450,459,464,472,475
P36,218,236,506,513,521,529,535,541,546,553,561,564
P37,64,84,,357,363,,379,,399,407,416,419
P38,86,104,420,427,441,449,454,463,471,483,493,495
P39,62,80,355,361,369,379,390,397,404,420,428,432
P40,65,83,311,318,327,343,352,371,375,390,401,404
P41,81,114,335,340,347,362,371,,408,415,423,426
P42,50,65,305,312,320,329,336,341,347,354,361,364
P43,61,97,322,329,336,343,349,357,363,369,376,379
P44,49,72,302,309,316,324,330,337,342,348,356,359
P45,46,69,339,345,353,363,370,378,384,390,399,403
P46,57,74,338,346,356,365,372,381,388,394,402,405
P47,65,90,295,300,308,316,323,330,336,343,351,353
P48,45,62,324,332,341,351,358,366,373,380,389,392
P49,52,62,338,346,353,361,368,375,380,387,395,398
