,S3 starts,S4 starts,S5 starts,S6 starts,S6 over
Participant1,,,,,
Participant2,,,,,
Participant3,,15:41:27,15:41:57,15:46:17,15:47:42
Participant4,,16:06:50,16:07:21,16:12:17,16:13:24
Participant5,,16:35:30,16:36:04,16:41:14,16:42:31
Participant6,,10:55:56,10:56:36,11:01:29,11:02:56
Participant7,,11:23:07,11:23:36,11:28:01,11:29:39
Participant8,,11:38:44,11:39:08,11:43:10,11:44:33
Participant9,,11:57:32,11:57:59,12:02:16,12:02:28
Participant10,,12:44:03,12:44:38,12:49:18,12:04:17
Participant11,,14:35:20,14:35:50,14:39:32,14:40:38
Participant12,,15:11:29,15:11:53,15:16:46,15:18:17
Participant13,,15:28:46,15:29:17,15:33:06,15:34:10
Participant14,,16:02:55,16:03:19,16:07:09,16:08:19
Participant15,,16:22:20,16:23:02,16:26:29,16:27:40
Participant16,,10:26:38,10:27:13,10:33:24,10:34:15
Participant17,,10:44:33,10:45:08,10:49:12,10:50:28
Participant18,,11:11:44,11:12:19,11:19:40,11:20:34
Participant19,,11:29:30,11:29:56,11:35:48,11:36:26
Participant20,,11:46:40,11:47:24,11:51:00,11:51:58
Participant21,,12:01:37,12:02:07,12:05:25,12:06:24
Participant22,,12:15:54,12:16:38,12:20:04,12:21:11
Participant23,,14:14:09,14:14:33,14:20:32,14:21:37
Participant24,,14:32:59,14:33:24,14:36:25,14:37:40
Participant25,,14:49:56,14:50:31,14:54:04,14:55:08
Participant26,,15:03:14,15:03:49,15:07:07,15:08:15
Participant27,,15:18:13,15:18:38,15:22:33,15:23:46
Participant28,,15:34:39,15:35:09,15:38:36,15:40:17
Participant29,,15:52:06,15:52:36,15:57:03,15:58:21
Participant30,,16:13:56,16:14:36,16:20:02,16:21:31
Participant31,,16:32:33,16:33:13,16:37:55,16:39:32
Participant32,,10:25:10,10:25:35,10:33:28,10:34:50
Participant33,,10:43:53,10:44:18,10:51:11,10:52:30
Participant34,,11:14:28,11:14:54,11:18:42,11:19:43
Participant35,,invalid,11:31:23,11:35:22,11:36:26
Participant36,,11:47:27,11:47:45,11:52:15,11:53:13
Participant37,,12:13:35,12:13:55,invalid,12:19:30
Participant38,,12:29:12,12:29:30,12:34:46,12:36:01
Participant39,,12:52:24,12:52:42,12:57:17,12:58:34
Participant40,,13:08:27,13:08:45,13:12:33,13:14:06
Participant41,,14:37:18,invalid,14:41:32,14:43:03
Participant42,,14:50:50,14:51:05,14:55:05,14:56:04
Participant43,,15:03:46,15:04:22,15:08:07,15:09:04
Participant44,,15:22:21,15:22:44,15:26:34,15:27:31
Participant45,,15:38:07,15:38:30,15:43:00,15:44
Participant46,,15:52:03,15:52:20,15:56:44,15:57:51
Participant47,,16:15:10,16:15:35,16:19:00,16:19:58
Participant48,,16:27:18,16:27:35,16:31:57,16:33:05
Participant49,,17:08:53,17:09:03,17:13:39,17:14:39
